Time (s),BMS_State,BalancingMask0,Balancing_Limit,CellVoltage_1,CellVoltage_10,CellVoltage_11,CellVoltage_12,CellVoltage_13,CellVoltage_14,CellVoltage_15,CellVoltage_16,CellVoltage_17,CellVoltage_18,CellVoltage_19,CellVoltage_2,CellVoltage_20,CellVoltage_3,CellVoltage_4,CellVoltage_5,CellVoltage_6,CellVoltage_7,CellVoltage_8,CellVoltage_9,Charging_Info,Contactor_Command,Flag_Balancing_Active,IntTherm_1,IntTherm_2,IntTherm_3,IntTherm_4,IntTherm_5,IntTherm_6,IntTherm_7,IntTherm_8,Int_Temp_Delta,Int_Temp_Max,Int_Temp_Min,Pack_Current,SoC,VehicleState,Voltage_Delta,Voltage_Max,Voltage_Min
s,,,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,,,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A,%,,mV,mV,mV
0.0049,,,3100.0,,,,,,,,,,,,,,,,,,,,,,,InActive,,,,,,,,,,,,-0.028440000000000003,,,,,
0.0053,Precharge,,3100.0,,,,,,,,,,,,,,,,,,,,,,,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,,,
0.0059,Precharge,,3100.0,,,,,,,,,,,,,,,,,,,,,,1.0,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0092,Precharge,,3100.0,3300.0,,,,,,,,,,,3300.0,,3300.0,3300.0,,,,,,,1.0,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0097,Precharge,,3100.0,3300.0,,,,,,,,,,,3300.0,,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,,1.0,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0101,Precharge,,3100.0,3300.0,3300.0,3300.0,3300.0,,,,,,,,3300.0,,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,1.0,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0106,Precharge,,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,,,3300.0,,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,1.0,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0111,Precharge,,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,1.0,InActive,,,,,,,,,,,,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.012,Precharge,,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,1.0,InActive,,,,,,,,,0.0,25.0,25.0,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0125,Precharge,,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.013,Precharge,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,,0.0,3300.0,3300.0
0.0359,Precharge,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.1361,Precharge,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.2364,Precharge,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.2948,Precharge,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.2953,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.2958,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.2992,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.2996,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.3001,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.301,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.302,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.3029,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.3034,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.3045,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
0.3368,Active,0.0,3100.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,3300.0,0.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,1.0,1.0,InActive,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,-0.028440000000000003,93.98,Off,0.0,3300.0,3300.0
